gene_name,b_number,protein_id,sector
dapA,b2478,P0A6L2,A
dapB,b0031,P04036,A
dapD,b0166,P0A9D8,A
dapE,b2472,P0AED7,R
dapF,b3809,P0A6K1,S'
dauA,b1206,P0AFR2,X
dbpA,b1343,P21693,X
dcd,b2065,P28248,S
dcm,b1961,P0AED9,X
dcp,b1538,P24171,S
dcrB,b3472,P0AEE1,S'
dctA,b3528,P0A830,X
dctR,b3507,P37195,X
dcuA,b4138,P0ABN5,S'
dcuB,b4123,P0ABN9,X
dcuC,b0621,P0ABP3,X
dcuD,b3227,P45428,X
dcuR,b4124,P0AD01,X
dcuS,b4125,P0AEC8,X
dcyD,b1919,P76316,S
ddlA,b0381,P0A6J8,A'
ddlB,b0092,P07862,S'
ddpA,b1487,P76128,S
ddpB,b1486,P77308,X
ddpC,b1485,P77463,X
ddpD,b1484,P77268,X
ddpF,b1483,P77622,X
ddpX,b1488,P77790,X
deaD,b3162,P0A9P6,R
dedA,b2317,P0ABP6,X
dedD,b2314,P09549,S'
def,b3287,P0A6K3,R
degP,b0161,P0C0V0,S
degQ,b3234,P39099,S
degS,b3235,P0AEE3,A'
deoA,b4382,P07650,S
deoB,b4383,P0A6K6,S'
deoC,b4381,P0A6L0,S
deoD,b4384,P0ABP8,C
deoR,b0840,P0ACK5,X
der,b2511,P0A6P5,A'
dfp,b3639,P0ABQ0,S
dgcC,b0385,P0AAP1,X
dgcE,b2067,P38097,X
dgcF,b1522,P76147,X
dgcI,b0834,P75801,X
dgcJ,b1786,P76237,X
dgcM,b1341,P77302,X
dgcN,b2604,P46139,X
dgcP,b1794,P76245,X
dgcQ,b1956,P76330,X
dgcT,b1025,P75908,X
dgcZ,b1535,P31129,X
dgkA,b4042,P0ABN1,U
dgoA,b4477,Q6BF16,X
dgoD,b4478,Q6BF17,X
dgoK,b3693,P31459,X
dgoR,b4479,P31460,S
dgoT,b3691,P0AA76,X
dgt,b0160,P15723,X
dhaK,b1200,P76015,S
dhaL,b1199,P76014,X
dhaM,b1198,P37349,A'
dhaR,b1201,P76016,X
diaA,b3149,P66817,S'
dicA,b1570,P06966,S'
dicB,b1575,P09557,X
dicC,b1569,P06965,X
dinB,b0231,Q47155,X
dinD,b3645,P23840,X
dinF,b4044,P28303,X
dinG,b0799,P27296,X
dinI,b1061,P0ABR1,U
dinJ,b0226,Q47150,S'
dinQ,b4613,A5A624,X
djlA,b0055,P31680,S'
djlB,b0646,P77381,X
djlC,b0649,P77359,X
dkgA,b3012,Q46857,S
dkgB,b0207,P30863,U
dksA,b0145,P0ABS1,R
dld,b2133,P06149,S
dmlA,b1800,P76251,X
dmlR,b1799,P76250,X
dmsA,b0894,P18775,X
dmsB,b0895,P18776,X
dmsC,b0896,P18777,X
dmsD,b1591,P69853,C'
dnaA,b3702,P03004,R
dnaB,b4052,P0ACB0,A'
dnaC,b4361,P0AEF0,S'
dnaE,b0184,P10443,X
dnaG,b3066,P0ABS5,C'
dnaJ,b0015,P08622,R
dnaK,b0014,P0A6Y8,R
dnaN,b3701,P0A988,S'
dnaQ,b0215,P03007,X
dnaT,b4362,P0A8J2,A'
dnaX,b0470,P06710,S'
dosC,b1490,P0AA89,X
dosP,b1489,P76129,X
dpiA,b0620,P0AEF4,X
dpiB,b0619,P77510,X
dppA,b3544,P23847,C'
dppB,b3543,P0AEF8,C'
dppC,b3542,P0AEG1,C'
dppD,b3541,P0AAG0,C'
dppF,b3540,P37313,C
dps,b0812,P0ABT2,S
dsbA,b3860,P0AEG4,U
dsbB,b1185,P0A6M2,R
dsbC,b2893,P0AEG6,R
dsbD,b4136,P36655,A
dsbG,b0604,P77202,R
dsdA,b2366,P00926,S
dsdC,b2364,P46068,X
dsdX,b2365,P08555,X
dsrB,b1952,P0AEG8,X
dtd,b3887,P0A6M4,S'
dtpA,b1634,P77304,X
dtpB,b3496,P36837,X
dtpC,b4130,P39276,X
dtpD,b0709,P75742,X
dusA,b4049,P32695,A'
dusB,b3260,P0ABT5,R
dusC,b2140,P33371,X
dut,b3640,P06968,A'
dxr,b0173,P45568,A'
dxs,b0420,P77488,C'
eaeH,b0297,P36943,X
eamA,b1533,P31125,X
eamB,b2578,P38101,X
ebgA,b3076,P06864,X
ebgC,b3077,P0AC73,X
ebgR,b3075,P06846,S'
ecnA,b4410,P0ADB4,X
ecnB,b4411,P0ADB7,S
eco,b2209,P23827,S'
ecpA,b0293,P0AAA3,X
ecpB,b0292,P77188,X
ecpC,b0291,P77802,X
ecpD,b0290,P77694,X
ecpE,b0289,P77263,X
ecpR,b0294,P71301,X
eda,b1850,P0A955,A
edd,b1851,P0ADF6,U
efeB,b1019,P31545,R
efeO,b1018,P0AB24,U
efeU_1,b1016,,X
efp,b4147,P0A6N4,R
elaA,b2267,P0AEH3,S
elaB,b2266,P0AEH5,S
elaD,b2269,Q47013,X
elbB,b3209,P0ABU5,S'
elfA,b0938,P75855,X
elfC,b0940,P75857,X
elfD,b0939,P75856,X
elfG,b0941,P75858,X
elyC,b0920,P0AB01,C'
emrA,b2685,P27303,S
emrB,b2686,P0AEJ0,X
emrD,b3673,P31442,X
emrE,b0543,P23895,X
emrK,b2368,P52599,X
emrY,b2367,P52600,X
emtA,b1193,P0C960,A'
endA,b2945,P25736,X
eno,b2779,P0A6P9,A
entA,b0596,P15047,U
entB,b0595,P0ADI4,U
entC,b0593,P0AEJ2,X
entD,b0583,P19925,X
entE,b0594,P10378,U
entF,b0586,P11454,U
entH,b0597,P0A8Y8,X
entS,b0591,P24077,X
envC,b3613,P37690,S'
envR,b3264,P0ACT2,X
envY,b0566,P10805,X
envZ,b3404,P0AEJ4,X
epd,b2927,P0A9B6,U
epmA,b4155,P0A8N7,U
epmB,b4146,P39280,R
epmC,b2326,P76938,X
eptA,b4114,P30845,X
eptB,b3546,P37661,X
eptC,b3955,P0CB39,R
era,b2566,P06616,R
erpA,b0156,P0ACC3,R
essD,b0554,P0A9R2,X
essQ,b1556,P77237,X
etk,b0981,P38134,X
etp,b0982,P0ACZ2,X
ettA,b4391,P0A9W3,U
eutA,b2451,P76551,X
eutB,b2441,P0AEJ6,S
eutC,b2440,P19636,S
eutD,b2458,P77218,X
eutE,b2455,P77445,X
eutG,b2453,P76553,X
eutH,b2452,P76552,X
eutJ,b2454,P77277,X
eutK,b2438,P76540,X
eutL,b2439,P76541,S
eutM,b2457,P0ABF4,X
eutN,b2456,P0AEJ8,X
eutP,b2461,P76556,X
eutQ,b2460,P76555,X
eutR,b2437,P36547,X
eutS,b2462,P63746,X
eutT,b2459,P65643,X
evgA,b2369,P0ACZ4,X
evgS,b2370,P30855,X
exbB,b3006,P0ABU7,U
exbD,b3005,P0ABV2,U
exoX,b1844,P0AEK0,X
exuR,b3094,P0ACL2,C'
exuT,b3093,P0AA78,X
fabA,b0954,P0A6Q3,A'
fabB,b2323,P0A953,S'
fabD,b1092,P0AAI9,A'
fabF,b1095,P0AAI5,R
fabG,b1093,P0AEK2,A'
fabH,b1091,P0A6R0,A'
fabI,b1288,P0AEK4,U
fabR,b3963,P0ACU5,S'
fabZ,b0180,P0A6Q6,R
fadA,b3845,P21151,S
fadB,b3846,P21177,S
fadD,b1805,P69451,S
fadE,b0221,Q47146,S
fadH,b3081,P42593,X
fadI,b2342,P76503,S
fadJ,b2341,P77399,X
fadK,b1701,P38135,X
fadL,b2344,P10384,C'
fadM,b0443,P77712,X
fadR,b1187,P0A8V6,C'
fau,b2912,P0AC28,X
fbaA,b2925,P0AB71,A
fbaB,b2097,P0A991,S
fbp,b4232,P0A993,C
fcl,b2052,P32055,X
fdhD,b3895,P32177,A'
fdhE,b3891,P13024,S
fdhF,b4079,P07658,X
fdnG,b1474,P24183,X
fdnH,b1475,P0AAJ3,X
fdnI,b1476,P0AEK7,X
fdoG,b3894,P32176,X
fdoH,b3893,P0AAJ5,X
fdoI,b3892,P0AEL0,X
fdrA,b0518,Q47208,X
fdx,b2525,P0A9R4,A'
feaB,b1385,P80668,X
feaR,b1384,Q47129,X
fecA,b4291,P13036,X
fecB,b4290,P15028,X
fecC,b4289,P15030,X
fecD,b4288,P15029,X
fecE,b4287,P15031,X
fecI,b4293,P23484,X
fecR,b4292,P23485,X
feoA,b3408,P0AEL3,X
feoB,b3409,P33650,R
feoC,b3410,P64638,X
fepA,b0584,P05825,U
fepB,b0592,P0AEL6,C
fepC,b0588,P23878,X
fepD,b0590,P23876,X
fepE,b0587,P26266,X
fepG,b0589,P23877,X
fes,b0585,P13039,X
fetA,b0490,P77279,S
fetB,b0491,P77307,X
ffh,b2610,P0AGD7,A'
fhlA,b2731,P19323,X
fhuA,b0150,P06971,C
fhuB,b0153,P06972,X
fhuC,b0151,P07821,X
fhuD,b0152,P07822,X
fhuE,b1102,P16869,X
fhuF,b4367,P39405,X
fic,b3361,P20605,S
fieF,b3915,P69380,X
fimA,b4314,P04128,X
fimB,b4312,P0ADH5,X
fimC,b4316,P31697,X
fimD,b4317,P30130,X
fimE,b4313,P0ADH7,X
fimF,b4318,P08189,X
fimG,b4319,P08190,X
fimH,b4320,P08191,X
fimI,b4315,P39264,X
fimZ,b0535,P0AEL8,X
fis,b3261,P0A6R3,R
fiu,b0805,P75780,U
fixA,b0041,P60566,X
fixB,b0042,P31574,X
fixC,b0043,P68644,X
fixX,b0044,P68646,X
fklB,b4207,P0A9L3,U
fkpA,b3347,P45523,C
fkpB,b0028,P0AEM0,R
fldA,b0684,P61949,R
fldB,b2895,P0ABY4,A'
flgA,b1072,P75933,X
flgB,b1073,P0ABW9,X
flgC,b1074,P0ABX2,X
flgD,b1075,P75936,X
flgE,b1076,P75937,C
flgF,b1077,P75938,X
flgG,b1078,P0ABX5,C
flgH,b1079,P0A6S0,C
flgI,b1080,P0A6S3,U
flgJ,b1081,P75942,X
flgK,b1082,P33235,C
flgL,b1083,P29744,C
flgM,b1071,P0AEM4,C
flgN,b1070,P43533,C
flhA,b1879,P76298,X
flhB,b1880,P76299,X
flhC,b1891,P0ABY7,X
flhD,b1892,P0A8S9,X
flhE,b1878,P76297,X
fliA,b1922,P0AEM6,C
fliC,b1923,P04949,C
fliD,b1924,P24216,U
fliE,b1937,P0A8T5,X
fliF,b1938,P25798,C
fliG,b1939,P0ABZ1,C
fliH,b1940,P31068,X
fliI,b1941,P52612,C
fliJ,b1942,P52613,X
fliK,b1943,P52614,X
fliL,b1944,P0ABX8,C
fliM,b1945,P06974,C
fliN,b1946,P15070,C
fliO,b1947,P22586,X
fliP,b1948,P0AC05,C
fliQ,b1949,P0AC07,X
fliR,b1950,P33135,X
fliS,b1925,P26608,X
fliT,b1926,P0ABY2,X
fliZ,b1921,P52627,C
