gene_name,b_number,protein_id,sector
nrdA,b2234,P00452,S
nrdB,b2235,P69924,S'
nrdD,b4238,P28903,X
nrdE,b2675,P39452,C'
nrdF,b2676,P37146,X
nrdG,b4237,P0A9N8,X
nrdH,b2673,P0AC65,X
nrdI,b2674,P0A772,X
nrdR,b0413,P0A8D0,S'
nrfA,b4070,P0ABK9,X
nrfB,b4071,P0ABL1,X
nrfC,b4072,P0AAK7,X
nrfD,b4073,P32709,X
nrfE,b4074,P32710,X
nrfF,b4075,P32711,X
nrfG,b4076,P32712,X
nsrR,b4178,P0AF63,A'
nth,b1633,P0AB83,A'
nudB,b1865,P0AFC0,X
nudC,b3996,P32664,A'
nudE,b3397,P45799,S'
nudF,b3034,Q93K97,C
nudG,b1759,P77788,X
nudI,b2251,P52006,X
nudJ,b1134,P0AEI6,S'
nudK,b2467,P37128,X
nudL,b1813,P43337,X
nuoA,b2288,P0AFC3,S
nuoB,b2287,P0AFC7,S'
nuoC,b2286,P33599,S'
nuoE,b2285,P0AFD1,S'
nuoF,b2284,P31979,S
nuoG,b2283,P33602,S'
nuoH,b2282,P0AFD4,C
nuoI,b2281,P0AFD6,S'
nuoJ,b2280,P0AFE0,S
nuoK,b2279,P0AFE4,X
nuoL,b2278,P33607,S
nuoM,b2277,P0AFE8,S
nuoN,b2276,P0AFF0,X
nupC,b2393,P0AFF2,U
nupG,b2964,P0AFF4,X
nupX,b2161,P33021,X
nusA,b3169,P0AFF6,R
nusB,b0416,P0A780,R
nusG,b3982,P0AFG0,S'
obgE,b3183,P42641,R
ogrK,b2082,P37057,X
ogt,b1335,P0AFH0,X
ompA,b0957,P0A910,A'
ompC,b2215,P06996,S'
ompF,b0929,P02931,C'
ompG,b1319,P76045,X
ompL,b3875,P76773,X
ompN,b1377,P77747,S'
ompR,b3405,P0AA16,S'
ompT,b0565,P09169,S'
ompW,b1256,P0A915,S
ompX,b0814,P0A917,A'
opgB,b4359,P39401,C'
opgC,b1047,P75920,X
opgD,b1424,P40120,C
opgE,b0815,P75785,X
opgG,b1048,P33136,C'
opgH,b1049,P62517,C'
oppA,b1243,P23843,S
oppB,b1244,P0AFH2,S
oppC,b1245,P0AFH6,S
oppD,b1246,P76027,S
oppF,b1247,P77737,S
orn,b4162,P0A784,A
ortT,b1445,P64453,X
osmB,b1283,P0ADA7,X
osmC,b1482,P0C0L2,S
osmE,b1739,P0ADB1,S
osmF,b2131,P33362,X
osmY,b4376,P0AFH8,A
otsA,b1896,P31677,S
otsB,b1897,P31678,X
oxc,b2373,P0AFI0,X
oxyR,b3961,P0ACQ4,S'
paaA,b1388,P76077,X
paaB,b1389,P76078,X
paaC,b1390,P76079,X
paaD,b1391,P76080,X
paaE,b1392,P76081,X
paaF,b1393,P76082,X
paaG,b1394,P77467,X
paaH,b1395,P76083,X
paaI,b1396,P76084,X
paaJ,b1397,P0C7L2,X
paaK,b1398,P76085,X
paaX,b1399,P76086,C
paaY,b1400,P77181,X
paaZ,b1387,P77455,X
pabA,b3360,P00903,A'
pabB,b1812,P05041,A'
pabC,b1096,P28305,S'
pagP,b0622,P37001,X
pal,b0741,P0A912,R
panB,b0134,P31057,U
panC,b0133,P31663,S
panD,b0131,P0A790,U
panE,b0425,P0A9J4,X
panF,b3258,P16256,X
panZ,b3459,P37613,S'
paoA,b0286,P77165,X
paoB,b0285,P77324,X
paoC,b0284,P77489,X
paoD,b0283,P77183,X
parC,b3019,P0AFI2,R
parE,b3030,P20083,R
patA,b3073,P42588,X
patD,b1444,P77674,X
patZ,b2584,P76594,X
pbl,b2854,Q46790,X
pbpC,b2519,P76577,X
pbpG,b2134,P0AFI5,A'
pck,b3403,P22259,C
pcm,b2743,P0A7A5,S'
pcnB,b0143,P0ABF1,R
pdeA,b2395,P23842,X
pdeB,b0457,P77473,X
pdeC,b4061,P32701,X
pdeD,b1815,P76261,X
pdeF,b2503,P77172,X
pdeG,b1168,P75995,C
pdeH,b3525,P37646,X
pdeI,b0833,P75800,X
pdeK,b3529,P37649,X
pdeL,b0315,P21514,X
pdeN,b2176,P76446,X
pdeR,b1285,P77334,X
pdhR,b0113,P0ACL9,A
pdxA,b0052,P19624,C
pdxB,b2320,P05459,S
pdxH,b1638,P0AFI7,S
pdxJ,b2564,P0A794,S
pdxK,b2418,P40191,S'
pdxY,b1636,P77150,R
pepA,b4260,P68767,S'
pepB,b2523,P37095,S'
pepD,b0237,P15288,S
pepE,b4021,P0A7C6,C
pepN,b0932,P04825,S
pepP,b2908,P15034,S
pepQ,b3847,P21165,S
pepT,b1127,P29745,S
perR,b0254,Q57083,X
pfkA,b3916,P0A796,A'
pfkB,b1723,P06999,A'
pflA,b0902,P0A9N4,S'
pflB,b0903,P09373,S
pflC,b3952,P32675,X
pflD,b3951,P32674,X
pgaA,b1024,P69434,X
pgaB,b1023,P75906,X
pgaC,b1022,P75905,X
pgaD,b1021,P69432,X
pgi,b4025,P0A6T1,A
pgk,b2926,P0A799,A
pgl,b0767,P52697,S
pgm,b0688,P36938,S
pgpA,b0418,P18200,X
pgpB,b1278,P0A924,X
pgpC,b2560,P0AD42,X
pgrR,b1328,P77333,X
pgsA,b1912,P0ABF8,S'
pheA,b2599,P0A9J8,A
pheL,b2598,P0AD72,X
pheM,b1715,P0AD74,X
pheP,b0576,P24207,X
pheS,b1714,P08312,A
pheT,b1713,P07395,A
phnC,b4106,P16677,X
phnD,b4105,P16682,X
phnE_1,b4104,,X
phnE_2,b4103,,X
phnF,b4102,P16684,X
phnG,b4101,P16685,X
phnH,b4100,P16686,X
phnI,b4099,P16687,X
phnJ,b4098,P16688,X
phnK,b4097,P16678,X
phnL,b4096,P16679,S
phnM,b4095,P16689,X
phnN,b4094,P16690,X
phnO,b4093,P16691,X
phnP,b4092,P16692,X
phoA,b0383,P00634,U
phoB,b0399,P0AFJ5,S'
phoE,b0241,P02932,X
phoH,b1020,P0A9K1,X
phoP,b1130,P23836,S'
phoQ,b1129,P23837,A'
phoR,b0400,P08400,X
phoU,b3724,P0A9K7,S'
php,b3379,P45548,X
phr,b0708,P00914,X
pinE,b1158,P03014,X
pinH,b2648,P76611,X
pinQ,b1545,P77170,X
pinR,b1374,P0ADI0,X
pitA,b3493,P0AFJ7,A'
pitB,b2987,P43676,X
plaP,b2014,P0AA47,U
pldA,b3821,P0A921,A'
pldB,b3825,P07000,X
pliG,b1178,P76002,S
plsB,b4041,P0A7A7,S'
plsC,b3018,P26647,R
plsX,b1090,P27247,S'
pmbA,b4235,P0AFK0,A
pmrD,b2259,P37590,C'
pmrR,b4703,G3MTW7,X
pncA,b1768,P21369,S
pncB,b0931,P18133,A'
pncC,b2700,P0A6G3,S'
pnp,b3164,P05055,R
pntA,b1603,P07001,A
pntB,b1602,P0AB67,A
pnuC,b0751,P0AFK2,X
polA,b3863,P00582,S'
polB,b0060,P21189,X
potA,b1126,P69874,R
potB,b1125,P0AFK4,X
potC,b1124,P0AFK6,X
potD,b1123,P0AFK9,S
potE,b0692,P0AAF1,X
potF,b0854,P31133,S'
potG,b0855,P31134,S
potH,b0856,P31135,S
potI,b0857,P0AFL1,X
poxB,b0871,P07003,S
ppa,b4226,P0A7A9,R
ppc,b3956,P00864,A
ppdA,b2826,P33554,X
ppdB,b2825,P08371,X
ppdC,b2823,P08372,X
ppdD,b0108,P36647,X
pphA,b1838,P55798,X
pphB,b2734,P55799,X
ppiA,b3363,P0AFL3,U
ppiB,b0525,P23869,A
ppiC,b3775,P0A9L5,U
ppiD,b0441,P0ADY1,C'
ppk,b2501,P0A7B1,S'
pppA,b2972,Q46836,X
ppsA,b1702,P23538,C
ppsR,b1703,P0A8A4,S
pptA,b1461,P31992,S
ppx,b2502,P0AFL6,S
pqiA,b0950,P0AFL9,X
pqiB,b0951,P43671,S'
pqqL,b1494,P31828,C
prc,b1830,P23865,A'
preA,b2147,P25889,X
preT,b2146,P76440,X
prfA,b1211,P0A7I0,A'
prfB,b2891,P07012,R
prfC,b4375,P0A7I4,R
prfH,b0236,P28369,X
priA,b3935,P17888,R
priB,b4201,P07013,X
priC,b0467,P23862,S
prkB,b3355,P0AEX5,S
prlC,b3498,P27298,A
prlF,b3129,P15373,S'
prmA,b3259,P0A8T1,R
prmB,b2330,P39199,S'
prmC,b1212,P0ACC1,X
proA,b0243,P07004,S'
proB,b0242,P0A7B5,A'
proC,b0386,P0A9L8,S
proP,b4111,P0C0L7,S'
proQ,b1831,P45577,R
proS,b0194,P16659,R
proV,b2677,P14175,X
proW,b2678,P14176,X
proX,b2679,P0AFM2,X
proY,b0402,P0AAE2,X
prpB,b0331,P77541,X
prpC,b0333,P31660,X
prpD,b0334,P77243,X
prpE,b0335,P77495,X
prpR,b0330,P77743,X
prs,b1207,P0A717,U
psd,b4160,P0A8K1,S
psiE,b4030,P0A7C8,X
psiF,b0384,P0AFM4,X
pspA,b1304,P0AFM6,S'
pspB,b1305,P0AFM9,S'
pspC,b1306,P0AFN2,C'
pspD,b1307,P0AFV8,X
pspE,b1308,P23857,X
pspF,b1303,P37344,X
pspG,b4050,P32696,X
pssA,b2585,P23830,S'
pstA,b3726,P07654,X
pstB,b3725,P0AAH0,S'
pstC,b3727,P0AGH8,X
pstS,b3728,P0AG82,S'
psuG,b2165,P33025,X
psuK,b2166,P30235,X
psuT,b2164,P33024,X
pta,b2297,P0A9M8,S'
pth,b1204,P0A7D1,A'
ptrA,b2821,P05458,S
ptrB,b1845,P24555,X
ptsA,b3947,P32670,X
ptsG,b1101,P69786,U
ptsH,b2415,P0AA04,U
ptsI,b2416,P08839,A
ptsN,b3204,P69829,S'
ptsP,b2829,P37177,S'
purA,b4177,P0A7D4,U
purB,b1131,P0AB89,U
purC,b2476,P0A7D7,C
purD,b4005,P15640,U
purE,b0523,P0AG18,U
purF,b2312,P0AG16,R
purH,b4006,P15639,U
purK,b0522,P09029,U
purL,b2557,P15254,U
purM,b2499,P08178,U
purN,b2500,P08179,U
purR,b1658,P0ACP7,C'
purT,b1849,P33221,U
purU,b1232,P37051,R
putA,b1014,P09546,C'
putP,b1015,P07117,C
puuA,b1297,P78061,X
puuB,b1301,P37906,X
puuC,b1300,P23883,X
puuD,b1298,P76038,X
puuE,b1302,P50457,X
puuP,b1296,P76037,X
puuR,b1299,P0A9U6,C'
pykA,b1854,P21599,S
pykF,b1676,P0AD61,U
pyrB,b4245,P0A786,S
pyrC,b1062,P05020,A
pyrD,b0945,P0A7E1,R
pyrE,b3642,P0A7E3,U
pyrF,b1281,P08244,R
pyrG,b2780,P0A7E5,U
pyrH,b0171,P0A7E9,U
pyrI,b4244,P0A7F3,S
pyrL,b4246,P0AD83,X
qmcA,b0489,P0AA53,S'
qor,b4051,P28304,S
qorB,b4211,P39315,X
qseB,b3025,P52076,C
qseC,b3026,P40719,X
queA,b0405,P0A7F9,R
queC,b0444,P77756,A
queD,b2765,P65870,R
queE,b2777,P64554,A
queF,b2794,Q46920,U
queG,b4166,P39288,X
racC,b1351,P15033,X
racR,b1356,P76062,S
radA,b4389,P24554,A'
radD,b2184,P33919,X
raiA,b2597,P0AD49,U
ralR,b1348,P33229,X
rapA,b0059,P60240,R
rapZ,b3205,P0A894,S
rarA,b0892,P0AAZ4,A'
rarD,b3819,P27844,X
ratA,b2619,P0AGL5,R
ratB,b2618,P52119,R
ravA,b3746,P31473,S'
rayT,b0228,Q47152,X
rbbA,b3486,P37624,C
rbfA,b3167,P0A7G2,R
rbn,b2268,P0A8V0,A'
rbsA,b3749,P04983,C
rbsB,b3751,P02925,C
rbsC,b3750,P0AGI1,C
rbsD,b3748,P04982,C
rbsK,b3752,P0A9J6,C
rbsR,b3753,P0ACQ0,X
rcdA,b0846,P75811,X
rclA,b0304,P77212,X
rclB,b0303,P75687,X
rclC,b0301,P75685,X
rclR,b0305,P77379,X
rcnA,b2106,P76425,X
rcnB,b2107,P64534,S'
rcnR,b2105,P64530,S'
rcsA,b1951,P0DMC9,X
rcsB,b2217,P0DMC7,C'
rcsC,b2218,P0DMC5,S
rcsD,b2216,P39838,S'
rcsF,b0196,P69411,S
rdgB,b2954,P52061,R
rdgC,b0393,P36767,A'
rdoA,b3859,P0C0K3,X
recA,b2699,P0A7G6,S
recB,b2820,P08394,X
recC,b2822,P07648,X
recD,b2819,P04993,X
recE,b1350,P15032,X
recF,b3700,P0A7H0,X
recG,b3652,P24230,A'
recJ,b2892,P21893,R
recN,b2616,P05824,X
recO,b2565,P0A7H3,X
recQ,b3822,P15043,X
recR,b0472,P0A7H6,R
recT,b1349,P33228,X
recX,b2698,P33596,X
relA,b2784,P0AG20,S'
relB,b1564,P0C079,S'
relE,b1563,P0C077,A'
rem,b1561,P07010,X
renD,b0542,P75718,X
rep,b3778,P09980,A'
rfaD,b3619,P67910,A'
rfaE,b3052,P76658,S
rfaH,b3842,P0AFW0,A'
rfbA,b2039,P37744,X
rfbB,b2041,P37759,X
rfbC,b2038,P37745,X
rfbD,b2040,P37760,X
rfbX,b2037,P37746,X
rfe,b3784,P0AC78,X
rffC,b3790,P27832,X
rffG,b3788,P27830,R
rffH,b3789,P61887,S
rffM,b3794,P27836,C'
rffT,b4481,P56258,A'
rhaA,b3903,P32170,X
rhaB,b3904,P32171,X
rhaD,b3902,P32169,X
rhaM,b3901,P32156,X
rhaR,b3906,P09378,X
rhaS,b3905,P09377,X
rhaT,b3907,P27125,X
rhlB,b3780,P0A8J8,A'
rhlE,b0797,P25888,R
rho,b3783,P0AG30,R
rhoL,b3782,P0ADF3,X
rhsA,b3593,P16916,X
rhsB,b3482,P16917,X
rhsC,b0700,P16918,X
rhsD,b0497,P16919,X
rhsE,b1456,P24211,X
rhtA,b0813,P0AA67,X
rhtB,b3824,P0AG34,X
rhtC,b3823,P0AG38,X
ribA,b1277,P0A7I7,A'
ribB,b3041,P0A7J0,U
ribC,b1662,P0AFU8,A'
ribD,b0414,P25539,S'
ribE,b0415,P61714,U
ribF,b0025,P0AG40,S'
ridA,b4243,P0AF93,C
rihA,b0651,P41409,C
rihB,b2162,P33022,X
rihC,b0030,P22564,S
rimI,b4373,P0A944,X
rimJ,b1066,P0A948,S'
rimK,b0852,P0C0U4,X
rimL,b1427,P13857,S'
rimM,b2608,P0A7X6,R
rimO,b0835,P0AEI4,R
rimP,b3170,P0A8A8,R
rlmA,b1822,P36999,A'
rlmB,b4180,P63177,A'
rlmC,b0859,P75817,X
rlmD,b2785,P55135,X
rlmE,b3179,P0C0R7,R
rlmF,b0807,P75782,X
rlmG,b3084,P42596,R
rlmH,b0636,P0A8I8,R
rlmI,b0967,P75876,R
rlmJ,b3499,P37634,R
rlmL,b0948,P75864,R
rlmM,b2806,P0ADR6,A'
rlmN,b2517,P36979,R
rlpA,b0633,P10100,A
rluA,b0058,P0AA37,X
rluB,b1269,P37765,R
rluC,b1086,P0AA39,R
rluD,b2594,P33643,A'
rluE,b1135,P75966,X
rluF,b4022,P32684,U
rmf,b0953,P0AFW2,X
rmuC,b3832,P0AG71,X
rna,b0611,P21338,A'
rnb,b1286,P30850,R
rnc,b2567,P0A7Y0,R
rnd,b1804,P09155,X
rne,b1084,P21513,R
rng,b3247,P0A9J0,S
rnhA,b0214,P0A7Y4,X
rnhB,b0183,P10442,S
rnk,b0610,P0AFW4,C
rnlA,b2630,P52129,X
rnlB,b2631,P52130,X
rnpA,b3704,P0A7Y8,R
rnr,b4179,P21499,S'
rnt,b1652,P30014,A'
rob,b4396,P0ACI0,S'
rodZ,b2516,P27434,S'
rof,b0189,P0AFW8,S'
roxA,b1128,P27431,S'
rpe,b3386,P0AG07,S
rph,b3643,P0CG19,R
rpiA,b2914,P0A7Z0,S
rpiB,b4090,P37351,C'
rpiR,b4089,P0ACS7,X
rplA,b3984,P0A7L0,R
rplB,b3317,P60422,R
rplC,b3320,P60438,R
rplD,b3319,P60723,R
rplE,b3308,P62399,R
rplF,b3305,P0AG55,R
rplI,b4203,P0A7R1,R
rplJ,b3985,P0A7J3,R
rplK,b3983,P0A7J7,R
rplL,b3986,P0A7K2,R
rplM,b3231,P0AA10,R
rplN,b3310,P0ADY3,R
rplO,b3301,P02413,R
rplP,b3313,P0ADY7,R
rplQ,b3294,P0AG44,R
rplR,b3304,P0C018,R
rplS,b2606,P0A7K6,R
rplT,b1716,P0A7L3,R
rplU,b3186,P0AG48,R
rplV,b3315,P61175,R
rplW,b3318,P0ADZ0,R
rplX,b3309,P60624,R
rplY,b2185,P68919,R
rpmA,b3185,P0A7L8,R
rpmB,b3637,P0A7M2,R
rpmC,b3312,P0A7M6,R
rpmD,b3302,P0AG51,R
rpmE,b3936,P0A7M9,R
rpmF,b1089,P0A7N4,R
rpmG,b3636,P0A7N9,R
rpmH,b3703,P0A7P5,R
rpmI,b1717,P0A7Q1,X
rpmJ,b3299,P0A7Q6,X
rpoA,b3295,P0A7Z4,A'
rpoB,b3987,P0A8V2,R
rpoC,b3988,P0A8T7,A'
rpoD,b3067,P00579,S
rpoE,b2573,P0AGB6,A'
rpoH,b3461,P0AGB3,X
rpoN,b3202,P24255,S
rpoS,b2741,P13445,X
rpoZ,b3649,P0A800,A'
rppH,b2830,P0A776,X
rpsA,b0911,P0AG67,R
rpsB,b0169,P0A7V0,R
rpsC,b3314,P0A7V3,R
rpsD,b3296,P0A7V8,R
rpsE,b3303,P0A7W1,R
rpsF,b4200,P02358,R
rpsG,b3341,P02359,R
rpsH,b3306,P0A7W7,R
rpsI,b3230,P0A7X3,R
rpsJ,b3321,P0A7R5,R
rpsK,b3297,P0A7R9,R
rpsL,b3342,P0A7S3,R
rpsM,b3298,P0A7S9,R
rpsN,b3307,P0AG59,R
rpsO,b3165,P0ADZ4,R
rpsP,b2609,P0A7T3,R
rpsQ,b3311,P0AG63,R
rpsR,b4202,P0A7T7,R
rpsS,b3316,P0A7U3,R
rpsT,b0023,P0A7U7,R
rpsU,b3065,P68679,R
rraA,b3929,P0A8R0,S'
rraB,b4255,P0AF90,A'
rrrD,b0555,P78285,X
rrrQ,b1554,P76159,X
rsd,b3995,P0AFX4,S
rseA,b2572,P0AFX7,A'
rseB,b2571,P0AFX9,S'
rseC,b2570,P46187,X
rseP,b0176,P0AEH1,S'
rsfS,b0637,P0AAT6,U
rsgA,b4161,P39286,S
rsmA,b0051,P06992,R
rsmB,b3289,P36929,R
rsmC,b4371,P39406,A'
rsmD,b3465,P0ADX9,A'
rsmE,b2946,P0AGL7,R
rsmF,b1835,P76273,R
rsmG,b3740,P0A6U5,R
rsmH,b0082,P60390,S'
rsmI,b3146,P67087,A'
rsmJ,b3497,P68567,A'
rspA,b1581,P38104,X
rspB,b1580,P38105,X
rssA,b1234,P0AFR0,X
rssB,b1235,P0AEV1,X
rstA,b1608,P52108,C'
rstB,b1609,P18392,X
rsuA,b2183,P0AA43,R
rsxA,b1627,P0A766,X
rsxB,b1628,P77223,R
rsxC,b1629,P77611,R
rsxD,b1630,P76182,X
rsxE,b1632,P77179,X
rsxG,b1631,P77285,C
rtcA,b4475,P46849,X
rtcB,b3421,P46850,X
rtcR,b3422,P38035,X
rusA,b0550,P0AG74,X
rutA,b1012,P75898,X
rutB,b1011,P75897,X
rutC,b1010,P0AFQ5,X
rutD,b1009,P75895,X
rutE,b1008,P75894,X
rutF,b1007,P75893,X
rutG,b1006,P75892,X
rutR,b1013,P0ACU2,A
ruvA,b1861,P0A809,S'
ruvB,b1860,P0A812,S
ruvC,b1863,P0A814,X
rzoD,b4510,P58041,X
rzoR,b4528,P58042,X
rzpD,b0556,P75719,X
rzpR,b1362,P77551,X
sad,b1525,P76149,S
safA,b1500,P76136,X
sanA,b2144,P0AFY2,X
sapA,b1294,Q47622,A'
sapB,b1293,P0AGH3,X
sapC,b1292,P0AGH5,X
sapD,b1291,P0AAH4,C'
sapF,b1290,P0AAH8,S'
satP,b0010,P0AC98,X
sbcB,b2011,P04995,R
sbcC,b0397,P13458,S'
sbcD,b0398,P0AG76,X
sbmA,b0377,P0AFY6,S
sbmC,b2009,P33012,X
sbp,b3917,P0AG78,U
scpA,b2917,P27253,X
scpB,b2919,P52045,X
scpC,b2920,P52043,X
sdaA,b1814,P16095,R
sdaB,b2797,P30744,R
sdaC,b2796,P0AAD6,X
sdhA,b0723,P0AC41,C
sdhB,b0724,P07014,C
sdhC,b0721,P69054,C
sdhD,b0722,P0AC44,C
sdhE,b2897,P64559,X
sdiA,b1916,P07026,X
secA,b0098,P10408,C'
secB,b3609,P0AG86,C'
secD,b0408,P0AG90,C'
secE,b3981,P0AG96,X
secF,b0409,P0AG93,C'
secG,b3175,P0AG99,R
secM,b0097,P62395,X
secY,b3300,P0AGA2,R
selA,b3591,P0A821,A
selB,b3590,P14081,A
selD,b1764,P16456,S'
seqA,b0687,P0AFY8,A'
serA,b2913,P0A9T0,A
serB,b4388,P0AGB0,U
serC,b0907,P23721,A
serS,b0893,P0A8L1,A
setA,b0070,P31675,X
setB,b2170,P33026,X
setC,b3659,P31436,X
sfmA,b0530,P0ABW5,X
sfmC,b0531,P77249,X
sfmD,b0532,P77468,X
sfmF,b0534,P38052,X
sfmH,b0533,P75715,X
sfsA,b0146,P0A823,S'
sfsB,b3188,P0ACH1,X
sgbE,b3583,P37680,X
sgbH,b3581,P37678,X
sgbU,b3582,P37679,X
sgcA,b4302,P39363,X
sgcB,b4565,P58035,X
sgcC,b4304,P39365,X
sgcE,b4301,P39362,X
sgcQ,b4303,P39364,X
sgcR,b4300,P39361,X
sgcX,b4305,P39366,X
sgrR,b0069,P33595,X
sgrT,b4662,C1P5Z7,X
shiA,b1981,P76350,A'
shoB,b4687,C1P611,X
sieB,b1353,P38392,X
sixA,b2340,P76502,R
skp,b0178,P0AEU7,S'
slmA,b3641,P0C093,S
slp,b3506,P37194,C
slt,b4392,P0AGC3,S
slyA,b1642,P0A8W2,S'
slyB,b1641,P0A905,S'
slyD,b3349,P0A9K9,S'
slyX,b3348,P0A8R4,S'
smf,b4473,P30852,X
smg,b3284,P0A828,X
smpB,b2620,P0A832,A'
smrA,b1340,P76053,S'
smrB,b2331,P0A8B2,A'
sodA,b3908,P00448,S
sodB,b1656,P0AGD3,S'
sodC,b1646,P0AGD1,X
sohB,b1272,P0AG14,A
solA,b1059,P40874,S
soxR,b4063,P0ACS2,X
soxS,b4062,P0A9E2,X
speA,b2938,P21170,A
speB,b2937,P60651,U
speC,b2965,P21169,A
speD,b0120,P0A7F6,U
speE,b0121,P09158,U
speF,b0693,P24169,X
speG,b1584,P0A951,S'
spoT,b3650,P0AG24,S'
sppA,b1766,P08395,U
spy,b1743,P77754,S
sra,b1480,P68191,S
srlA,b2702,P56579,X
srlB,b2704,P05706,X
srlD,b2705,P05707,X
srlE,b2703,P56580,X
srlR,b2707,P15082,S'
srmB,b2576,P21507,R
ssb,b4059,P0AGE0,C'
sseA,b2521,P31142,S'
sseB,b2522,P0AFZ1,R
ssnA,b2879,Q46812,X
sspA,b3229,P0ACA3,S'
sspB,b3228,P0AFZ3,R
sstT,b3089,P0AGE4,X
ssuA,b0936,P75853,X
ssuB,b0933,P0AAI1,X
ssuC,b0934,P75851,X
ssuD,b0935,P80645,X
ssuE,b0937,P80644,X
stfE,b1157,P33227,X
stfR,b1372,P76072,X
sthA,b3962,P27306,C'
stpA,b2669,P0ACG1,C
sucA,b0726,P0AFG3,C
sucB,b0727,P0AFG6,C
sucC,b0728,P0A836,C
sucD,b0729,P0AGE9,C
sufA,b1684,P77667,X
sufB,b1683,P77522,S
sufC,b1682,P77499,S
sufD,b1681,P77689,C
sufE,b1679,P76194,X
sufS,b1680,P77444,S
sugE,b4148,P69937,X
suhB,b2533,P0ADG4,R
sulA,b0958,P0AFZ5,X
surA,b0053,P0ABZ6,S'
sutR,b1434,P77626,X
sxy,b0959,P75869,X
syd,b2793,P0A8U0,S
symE,b4347,P39394,X
tabA,b4252,P0AF96,A'
tadA,b2559,P68398,X
tag,b3549,P05100,S'
talA,b2464,P0A867,S
talB,b0008,P0A870,A
tam,b1519,P76145,X
tamA,b4220,P0ADE4,S'
tamB,b4221,P39321,S'
tap,b1885,P07018,C
tar,b1886,P07017,C
tas,b2834,P0A9T4,S'
tatA,b3836,P69428,S'
tatB,b3838,P69425,S'
tatC,b3839,P69423,R
tatD,b4483,P27859,C'
tatE,b0627,P0A843,R
tauA,b0365,Q47537,X
tauB,b0366,Q47538,X
tauC,b0367,Q47539,X
tauD,b0368,P37610,X
tbpA,b0068,P31550,U
tcdA,b2812,Q46927,A'
tcyJ,b1920,P0AEM9,C
tcyL,b1918,P0AFT2,S
tcyN,b1917,P37774,S
tcyP,b1729,P77529,R
tdcA,b3118,P0ACQ7,X
tdcB,b3117,P0AGF6,X
tdcC,b3116,P0AAD8,X
tdcD,b3115,P11868,X
tdcE,b3114,P42632,S
tdcF,b3113,P0AGL2,C
tdcG,b4471,P42630,R
tdcR,b3119,P11866,X
tdh,b3616,P07913,S'
tdk,b1238,P23331,A'
tehA,b1429,P25396,X
tehB,b1430,P25397,S
tesA,b0494,P0ADA1,S
tesB,b0452,P0AGG2,S'
tfaD,b0561,P77699,X
tfaE,b1156,P09153,X
tfaQ,b1546,P76155,X
tfaR,b1373,P77163,X
tfaX,b0563,P77087,X
tgt,b0406,P0A847,R
thiC,b3994,P30136,X
thiD,b2103,P76422,X
thiE,b3993,P30137,X
thiF,b3992,P30138,X
thiG,b3991,P30139,X
thiH,b3990,P30140,X
thiI,b0423,P77718,R
thiK,b1106,P75948,X
thiL,b0417,P0AGG0,S'
thiM,b2104,P76423,X
thiP,b0067,P31549,X
thiQ,b0066,P31548,X
thiS,b4407,O32583,X
thpR,b0147,P37025,X
thrA,b0002,P00561,A'
thrB,b0003,P00547,A
thrC,b0004,P00934,A'
thrL,b0001,P0AD86,X
thrS,b1719,P0A8M3,R
thyA,b2827,P0A884,U
tig,b0436,P0A850,R
tilS,b0188,P52097,A'
tisB,b4618,A5A627,X
tktA,b2935,P27302,U
tktB,b2465,P33570,U
tldD,b3244,P0AGG8,A
tmcA,b2474,P76562,X
tmk,b1098,P0A720,R
tnaA,b3708,P0A853,X
tnaB,b3709,P23173,X
tnaC,b3707,P0AD89,X
tolA,b0739,P19934,S'
tolB,b0740,P0A855,A
tolC,b3035,P02930,A'
tolQ,b0737,P0ABU9,A'
tolR,b0738,P0ABV6,A'
tomB,b0461,P0AAR0,X
tonB,b1252,P02929,U
topA,b1274,P06612,A'
topAI,b4566,Q2EEU2,X
topB,b1763,P14294,X
torA,b0997,P33225,X
torC,b0996,P33226,X
torD,b0998,P36662,X
torI,b4501,Q2EES9,X
torR,b0995,P38684,X
torS,b0993,P39453,X
torT,b0994,P38683,X
torY,b1873,P52005,X
torZ,b1872,P46923,X
tpiA,b3919,P0A858,A
tpr,b1229,P02338,X
tpx,b1324,P0A862,C
tqsA,b1601,P0AFS5,X
treA,b1197,P13482,S'
treB,b4240,P36672,C'
treC,b4239,P28904,X
treF,b3519,P62601,X
treR,b4241,P36673,S'
trg,b1421,P05704,C
trkA,b3290,P0AGI8,S'
trkG,b1363,P23849,X
trkH,b3849,P0AFZ7,X
trmA,b3965,P23003,R
trmD,b2607,P0A873,C'
trmH,b3651,P0AGJ2,A'
trmI,b2960,P0A8I5,U
trmJ,b2532,P0AE01,R
trmL,b3606,P0AGJ7,A'
trmO,b0195,P28634,X
trpA,b1260,P0A877,U
trpB,b1261,P0A879,U
trpC,b1262,P00909,U
trpD,b1263,P00904,U
trpE,b1264,P00895,U
trpL,b1265,P0AD92,X
trpR,b4393,P0A881,S
trpS,b3384,P00954,A
truA,b2318,P07649,R
truB,b3166,P60340,R
truC,b2791,P0AA41,X
truD,b2745,Q57261,A'
trxA,b3781,P0AA25,S'
trxB,b0888,P0A9P4,S
trxC,b2582,P0AGG4,S'
tsaB,b1807,P76256,R
tsaC,b3282,P45748,R
