date,run_number,class,identifier,strain,replicate,growth_medium,phase,elapsed_time_hr,od_600nm_subtracted
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.017777777777778,0.0415555555555555
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.143333333333333,0.0413703703703703
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.268888888888888,0.0414444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.394444444444444,0.0424814814814814
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.52,0.0424444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.645555555555555,0.0423703703703703
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.771111111111111,0.0434074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,4.8966666666666665,0.0444444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,5.022222222222222,0.0455555555555555
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,5.147777777777778,0.0464074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,5.273333333333333,0.0474444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,5.398888888888888,0.0484074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,shift,5.524444444444444,0.0504444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,5.65,0.0524074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,5.775555555555555,0.0543703703703703
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,5.901111111111111,0.0564074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.026666666666666,0.0594814814814814
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.152222222222222,0.0623333333333333
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.277777777777778,0.0663333333333333
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.403333333333333,0.0704074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.528888888888889,0.0744074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.654444444444445,0.0784074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.78,0.0843333333333333
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,6.905555555555556,0.0894814814814814
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.031111111111112,0.0954074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.156666666666667,0.1013333333333333
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.282222222222221,0.1084074074074074
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.407777777777777,0.1152962962962963
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.533333333333332,0.1223703703703703
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.658888888888888,0.1294444444444444
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.784444444444444,0.1382962962962963
2021-09-12,1,WT,GC001,WT,2,glucose-acetate,exponential_acetate,7.909999999999999,0.1483333333333333
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.0,0.0106666666666666
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.1255555555555556,0.0115555555555555
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.2511111111111113,0.0127037037037037
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.3766666666666669,0.0136666666666666
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.5022222222222226,0.0144444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.6277777777777782,0.0164444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.7533333333333334,0.0176666666666666
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,0.878888888888889,0.0195925925925925
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.0044444444444447,0.0215185185185185
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.1300000000000003,0.0235925925925925
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.255555555555556,0.0255555555555555
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.3811111111111112,0.0285185185185185
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.5066666666666668,0.0303703703703703
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.6322222222222225,0.0337407407407407
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.757777777777778,0.0366296296296296
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_glucose,1.8833333333333335,0.0374814814814814
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.0088888888888894,0.0396296296296296
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.134444444444445,0.0394814814814814
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.26,0.0404444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.3855555555555554,0.0405925925925925
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.511111111111111,0.0394814814814814
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.6366666666666667,0.0394444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.7622222222222224,0.0394444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,2.887777777777778,0.0385185185185185
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.0133333333333336,0.0384444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.1388888888888893,0.0385185185185184
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.264444444444445,0.0385185185185184
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.390000000000001,0.0384074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.515555555555556,0.0385555555555555
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.641111111111111,0.0383703703703703
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.7666666666666666,0.0394444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,3.8922222222222222,0.0394814814814814
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.017777777777778,0.0394444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.1433333333333335,0.0403703703703703
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.268888888888889,0.0404074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.394444444444445,0.0414444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.5200000000000005,0.0425555555555555
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.645555555555556,0.0434074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.771111111111112,0.0444444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,shift,4.8966666666666665,0.0454074074074073
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.022222222222222,0.0474444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.147777777777778,0.0484074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.273333333333333,0.0503703703703703
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.398888888888889,0.0524074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.524444444444445,0.0554814814814814
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.65,0.0583333333333333
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.775555555555556,0.0613333333333333
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,5.901111111111112,0.0644074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.026666666666667,0.0684074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.152222222222223,0.0724074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.277777777777779,0.0773333333333333
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.403333333333334,0.0824814814814814
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.52888888888889,0.0874074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.6544444444444455,0.0943333333333333
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.779999999999999,0.1004074074074074
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,6.905555555555555,0.1062962962962962
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,7.031111111111111,0.1133703703703703
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,7.156666666666666,0.1204444444444444
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,7.282222222222222,0.1282962962962963
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,7.407777777777778,0.1373333333333333
2021-09-12,1,WT,GC001,WT,3,glucose-acetate,exponential_acetate,7.533333333333333,0.1463333333333333
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.0,0.0106666666666666
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.1255555555555552,0.0116666666666666
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.2511111111111108,0.0125555555555555
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.3766666666666665,0.0137037037037037
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.5022222222222221,0.0146666666666666
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.6277777777777778,0.0164444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.7533333333333334,0.0174444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,0.8788888888888886,0.0196666666666666
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.0044444444444445,0.0205925925925925
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.13,0.0225185185185185
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.2555555555555555,0.0245925925925925
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.3811111111111112,0.0265555555555555
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.5066666666666664,0.0295185185185185
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.632222222222222,0.0323703703703703
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.7577777777777777,0.0357407407407407
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,1.8833333333333333,0.0386296296296296
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_glucose,2.008888888888889,0.0404814814814814
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,2.1344444444444446,0.0416296296296296
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,2.26,0.0414814814814814
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,2.385555555555555,0.0424444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,2.51111111111111,0.0415925925925925
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,2.6366666666666663,0.0414814814814814
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,2.762222222222222,0.0414444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,2.8877777777777776,0.0404444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.013333333333333,0.0405185185185185
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.138888888888889,0.0404444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.2644444444444445,0.0405185185185184
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.39,0.0405185185185184
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.515555555555556,0.0404074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.641111111111112,0.0405555555555555
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.766666666666666,0.0403703703703703
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,3.892222222222222,0.0414444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.017777777777777,0.0414814814814814
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.143333333333333,0.0414444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.268888888888888,0.0423703703703703
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.394444444444444,0.0434074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.52,0.0434444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.645555555555555,0.0445555555555555
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.771111111111111,0.0454074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,4.8966666666666665,0.0464444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,shift,5.022222222222222,0.0484074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,5.147777777777778,0.0504444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,5.273333333333333,0.0524074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,5.398888888888889,0.0543703703703703
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,5.524444444444445,0.0564074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,5.65,0.0594814814814814
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,5.775555555555556,0.0623333333333333
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,5.901111111111112,0.0663333333333333
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.026666666666667,0.0704074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.152222222222223,0.0744074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.277777777777779,0.0784074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.403333333333334,0.0843333333333333
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.52888888888889,0.0894814814814814
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.6544444444444455,0.0954074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.780000000000001,0.1023333333333333
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,6.905555555555555,0.1084074074074074
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,7.031111111111111,0.1152962962962963
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,7.156666666666666,0.1233703703703703
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,7.282222222222222,0.1304444444444444
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,7.407777777777778,0.1392962962962963
2021-09-12,1,Single KO,GC048,∆dpp,1,glucose-acetate,exponential_acetate,7.533333333333333,0.1493333333333333
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.0,0.0106666666666666
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.1255555555555556,0.0115555555555555
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.2511111111111113,0.0127037037037037
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.3766666666666669,0.0146666666666666
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.5022222222222226,0.0154444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.6277777777777782,0.0164444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.7533333333333334,0.0186666666666666
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,0.878888888888889,0.0205925925925925
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.0044444444444447,0.0225185185185185
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.1300000000000003,0.0245925925925925
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.255555555555556,0.0265555555555555
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.3811111111111112,0.0295185185185185
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.5066666666666668,0.0323703703703703
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.6322222222222225,0.0357407407407407
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.757777777777778,0.0386296296296296
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_glucose,1.8833333333333335,0.0394814814814814
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.0088888888888894,0.0406296296296296
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.134444444444445,0.0414814814814814
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.26,0.0414444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.3855555555555554,0.0415925925925925
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.511111111111111,0.0414814814814814
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.6366666666666667,0.0404444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.7622222222222224,0.0404444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,2.887777777777778,0.0395185185185185
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.0133333333333336,0.0394444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.1388888888888893,0.0395185185185184
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.264444444444445,0.0395185185185184
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.390000000000001,0.0394074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.515555555555556,0.0405555555555555
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.641111111111111,0.0403703703703703
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.7666666666666666,0.0404444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,3.8922222222222222,0.0404814814814814
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.017777777777778,0.0414444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.1433333333333335,0.0413703703703703
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.268888888888889,0.0424074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.394444444444445,0.0424444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.5200000000000005,0.0435555555555555
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.645555555555556,0.0444074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.771111111111112,0.0454444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,shift,4.8966666666666665,0.0474074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.022222222222222,0.0494444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.147777777777778,0.0504074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.273333333333333,0.0533703703703703
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.398888888888889,0.0554074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.524444444444445,0.0584814814814814
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.65,0.0613333333333333
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.775555555555556,0.0653333333333333
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,5.901111111111112,0.0684074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.026666666666667,0.0724074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.152222222222223,0.0774074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.277777777777779,0.0823333333333333
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.403333333333334,0.0874814814814814
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.52888888888889,0.0934074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.6544444444444455,0.0993333333333333
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.779999999999999,0.1064074074074074
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,6.905555555555555,0.1122962962962963
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,7.031111111111111,0.1203703703703703
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,7.156666666666666,0.1284444444444444
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,7.282222222222222,0.1362962962962963
2021-09-12,1,Single KO,GC048,∆dpp,2,glucose-acetate,exponential_acetate,7.407777777777778,0.1453333333333333
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.0,0.0106666666666666
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.1255555555555556,0.0115555555555555
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.2511111111111113,0.0127037037037037
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.3766666666666669,0.0136666666666666
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.5022222222222226,0.0144444444444444
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.6277777777777782,0.0164444444444444
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.7533333333333334,0.0176666666666666
2021-09-12,1,Single KO,GC048,∆dpp,3,glucose-acetate,exponential_glucose,0.878888888888889,0.0195925925925925
